Date,Vix,VIX_roll_10,VIX_roll_20,VIX_day_change,VIX_sd,SPY_roll_10,SPY_roll_20,SPY_roll_60,SPY_day_return,SPY_5_day_return,SPY_20_day_return,QQQ_day_return,IWM_day_return,TLT_day_return,GLD_day_return,SPY_drawdown,QQQ_drawdown,IWM_drawdown,SPY_TLT_corr_20,SPY_TLT_corr_60,SPY_GLD_corr_20,SPY_VIX_corr_20,SPY_vol_ratio,QQQ_vol_ratio,IWM_vol_ratio,spy_above_avg,market_crisis
2013-05-16,13.069999694824219,12.792000102996827,13.345500040054322,0.25999927520751953,1.3711232062800183,1.2483920651833895,2.51719711750089,3.1760428633940028,-0.004695079412516678,0.015103643682582657,0.07266127857321192,-0.0010859059016198325,-0.0025460421876373207,0.010397123696014976,-0.004011056416375558,-0.4695079412516674,-0.10859059016198568,-0.25460421876373623,-0.6320884681528782,-0.6684213069386957,0.24231347047637125,-0.6244556115368232,0.987415424835474,0.8773634348951995,1.0258239763208155,1,0
2013-05-17,12.449999809265137,12.752000045776366,13.219500017166137,-0.619999885559082,1.3864842289791832,1.3447104253324746,2.5307972659107456,3.2605459386126525,0.009676558711349204,0.021602010245282743,0.07370726948634632,0.009647790484522245,0.011230239333256842,-0.012651721972996799,-0.02252210527369891,0.0,0.0,0.0,-0.6751762901933611,-0.6733135577211514,0.0806704854534043,-0.7354357535528503,1.1765850679180312,1.021305299368054,0.8801749143821042,1,0
2013-05-20,13.020000457763672,12.788000106811523,13.151000022888184,0.5700006484985352,1.3884720723629889,1.3391235605348653,2.512629887377019,3.358962639787963,-5.9660292920593605e-05,0.020728961780892785,0.06889941496526086,-0.0014805321127163706,0.001615473057713368,-0.0011957372284532308,0.030899424480465454,-0.005966029292060907,-0.14805321127163495,0.0,-0.6781677713309366,-0.6801372100856182,-0.020949855573881068,-0.7483183163960764,0.7787122640645882,0.8377064567567424,0.636445948542208,1,0
2013-05-21,13.369999885559082,12.842000102996826,13.145500040054321,0.34999942779541016,1.382185880148339,1.3448079530225585,2.54943811515868,3.377501363324817,0.001437304492299507,0.011740992838844333,0.05951276341978118,0.0010787534730292148,0.00020136925627234348,0.007867961504067766,-0.01657778504530205,0.0,-0.04033757688456587,0.0,-0.6941035385587851,-0.6363558122623392,0.029758727754801144,-0.7157457249024392,0.9061285797780735,0.9042498871869711,0.6252792288698935,1,0
2013-05-22,13.819999694824219,12.958000087738037,13.15600004196167,0.4499998092651367,1.362941401569624,1.2622725843243345,2.472685460319078,3.3721050837639983,-0.00741737431021372,-0.0011438498916105377,0.05098799435821966,-0.008751806622038893,-0.0146121830473388,-0.01485019327571524,-0.007074069889109635,-0.741737431021375,-0.9151652124159634,-1.4612183047338756,-0.4619158554739803,-0.5647322299842531,0.080891540432306,-0.725410109632897,2.157822845934504,2.0348151032059203,1.754903678754417,1,0
2013-05-23,14.069999694824219,13.052000045776367,13.178500032424926,0.25,1.3389084287846067,1.055420091646714,2.3759057018164347,3.3877347387892778,-0.0028927386934876065,0.0006649215457199542,0.04371717525753227,-0.002309679797698916,0.0012270869955033348,0.004737433786392575,0.02023645687084974,-1.0288656478030074,-1.1440194535831785,-1.3403026471628638,-0.48032256230381903,-0.5712504967108963,-0.028255339787278913,-0.7301532395635838,1.8025539178148713,1.5811094826370786,1.126677271849086,1,0
2013-05-24,13.989999771118164,13.192000007629394,13.197500038146973,-0.07999992370605469,1.303284121118585,0.8670572372398386,2.21351654636367,3.3824582232335105,-0.0008464562888358396,-0.009764172691175244,0.044678825780414266,-0.0005441742505912783,-0.00020434079686626472,0.0013719720553366788,-0.006314583609401292,-1.112640386888637,-1.1978143327134887,-1.3604628483385326,-0.4659222548398132,-0.5710408364718679,-0.027475307586733198,-0.7295315616516568,1.264436959216221,0.8632719202192941,0.8424795196533481,1,0
2013-05-28,14.479999542236328,13.38499994277954,13.23600001335144,0.48999977111816406,1.1329080909272427,0.5950038419311032,2.1163770358342244,3.400778287463335,0.005988961815564187,-0.0037742530131388285,0.043942194362720954,0.00653839507551246,0.01297566046598475,-0.02534180652578477,-0.002018458618119001,-0.5204077661237554,-0.5518066084966385,-0.08054970573667497,-0.4809362867527344,-0.5653044759421367,-0.06581094504026534,-0.6875819877373189,1.1716532263687254,0.8904439137921049,1.129554095154336,1,0
2013-05-29,14.829999923706055,13.59099988937378,13.30149998664856,0.35000038146972656,1.1515340798613227,0.5960079726512223,1.9745138460988818,3.4014761588570703,-0.00649392295429263,-0.011664205736150013,0.03469487478927524,-0.004736420533203445,-0.009279436219022053,0.011243235082985636,0.010038177262336356,-1.1664205736149975,-1.0228350736661422,-1.0077458717820313,-0.5371637984297964,-0.5742721777270635,-0.13336553454393282,-0.6923188653581386,1.2844731783200807,1.0526999500226433,0.9796790067211619,1,0
2013-05-30,14.529999732971191,13.76299982070923,13.303499984741212,-0.3000001907348633,1.03587926145383,0.5988195265541754,1.6555048027236854,3.432258235390361,0.0036917133000300417,-0.0006026491033337411,0.04770013421479047,0.005302931416830914,0.0067190284372489195,-0.0024324384743393823,0.013869280514663629,-0.8015553339570405,-0.49796595622943784,-0.34261410122716685,-0.4742421929068173,-0.5758634011968942,-0.19554807338140692,-0.6237632873881693,0.8742855518395382,1.055874421013891,0.8308650028545441,1,0
2013-05-31,16.299999237060547,14.085999774932862,13.438999938964844,1.7699995040893555,0.8859113657076298,0.8806997067542045,1.4106001208139698,3.417810673948629,-0.014352180935508163,-0.01208841062955357,0.02316110416459405,-0.00919768231654261,-0.011022660708056575,-0.0033958088604574277,-0.020336494816085793,-2.2252693603250826,-1.4131540552138464,-1.441103653041207,-0.4283871394280986,-0.5424021570376243,-0.028352312780612763,-0.738822968394514,1.3890673821793085,1.2367544500145775,1.0568102987301304,1,0
2013-06-03,16.280000686645508,14.468999862670898,13.610499954223632,-0.019998550415039062,0.9831111044534053,0.8969599329549105,1.2666100014295092,3.4161777663993975,0.0055061376584608634,-0.005807292754728577,0.018466448378022582,0.001774526079195704,0.009509670222856759,0.005298960359507943,0.01933987733947884,-1.6869082339040935,-1.2382091260191674,-0.503841051252916,-0.28351777150697777,-0.5342373928228791,0.008385239427372054,-0.7039161431363246,1.3101772392683049,1.5027390615072933,2.255298547341562,1,0
2013-06-04,16.270000457763672,14.793999862670898,13.79099998474121,-0.010000228881835938,1.0872354143845986,0.9439064848394727,1.1562880593539389,3.4084694223158993,-0.004806013983854496,-0.016475686367419917,0.011003058462475401,-0.005178119669369652,-0.010635642624095776,-0.009234797987313081,-0.009376593881796569,-2.159402327727921,-1.749609497925905,-1.5620466403020186,-0.24141147639085073,-0.5097799674286481,0.027842985268626174,-0.6688412635251586,1.1846416649005806,1.085188392403906,1.676639449842579,1,0
2013-06-05,17.5,15.20699987411499,14.024499988555908,1.2299995422363281,1.2884631913032147,1.2301187012331285,1.2663144972909202,3.3848163243337384,-0.014001691243040293,-0.023908024048795995,-0.008179932704182935,-0.0130141945078045,-0.012796413269186346,0.013805439697376132,0.002144557820634496,-3.5293361673696024,-3.028259190387641,-2.8216993728656083,-0.36809533722264615,-0.5357139186124543,0.021954506659899304,-0.741088165458578,1.521853457659813,1.4469480581566403,1.3995543404103974,1,0
2013-06-06,16.6299991607666,15.487999820709229,14.222999954223633,-0.8700008392333984,1.384837346465935,1.262415822470248,1.2956188191649356,3.3647351531694847,0.009053324128808882,-0.01869384798377971,-0.003734206454845901,0.004857378667608936,0.010577526735126686,-0.0006069098269004813,0.007452733729297778,-2.6559559787714355,-2.5572307252181377,-1.793793299907908,-0.36001900840502277,-0.5297709098974441,0.02479505115134602,-0.7617682003443595,1.3878348890596082,1.759309738499921,1.088542817443495,1,0
