Date,SPY_roll_10,SPY_roll_20,SPY_roll_60,SPY_day_return,SPY_5_day_return,SPY_20_day_return,QQQ_day_return,IWM_day_return,TLT_day_return,GLD_day_return,SPY_drawdown,QQQ_drawdown,IWM_drawdown,SPY_TLT_corr_20,SPY_TLT_corr_60,SPY_GLD_corr_20,SPY_vol_ratio,QQQ_vol_ratio,IWM_vol_ratio,spy_above_avg,market_crisis
2005-03-31,0.5324388210826315,1.2571494818553648,1.0595533663533585,-0.0018609733694882058,0.008205459277496718,-0.022667526287735384,-0.004355461170367003,-0.0001634987512504349,0.007215042935362348,0.004928399001750794,-3.556180672574929,-7.417700162515661,-4.6544087434058765,0.6284282711776441,0.3402806996939834,0.07354324999733385,1.0594572937994282,0.8887897682141725,1.0806961006159146,0,0
2005-04-01,0.44341242073075166,1.2586383498130316,1.0659646651245138,-0.004492643030389432,0.002476090906484263,-0.02745968513596475,-0.010118474538616917,-0.004175466229059399,0.003371678056348637,-0.00467073246998706,-3.989468325300422,-8.354491806147845,-5.052521039787485,0.611520657027324,0.29562520021694727,0.09826792243771076,1.5203721727838357,1.4365175803578252,1.245346792426976,0,0
2005-04-04,0.37234504163140203,1.1635149744359028,1.0652255433069004,0.0017026756564064716,0.0027274127097700607,-0.0377900501718339,0.007182903174037358,0.0036996779374749433,-0.00022398392231448572,-0.005161835089612765,-3.8259935302592774,-7.696210994455968,-4.701245946659525,0.537058315399039,0.31422753596941133,-0.0769911357107325,1.128627031204879,0.9930918361626626,1.5300328797749103,0,0
2005-04-05,0.38119063876377735,1.0210938531647862,1.065013577818858,0.004760706025758399,0.014245344642231927,-0.033681373581374685,0.0027429810429628887,0.0018019745403545784,-0.002575929122715759,0.0011792272467261444,-3.368137358137466,-7.443023451020124,-4.529520018127893,0.4994971701839706,0.30706815384939573,-0.06595588778353795,0.73676801664564,0.6665205885416245,0.8835633857032735,0,0
2005-04-06,0.4321761290030514,0.878508509603417,1.0625356014574119,0.0034688068287287432,0.003554270928179726,-0.026683458816579297,-0.001641213126055474,0.00310670825964543,0.003481201243177523,0.004240289798367325,-3.032940093132598,-7.5949291758403135,-4.232921089415893,0.5120218643581034,0.31194622428276747,0.004770007197763781,0.8318069230786047,0.8295668153485949,0.9648854095201558,0,0
2005-04-07,0.5302218984832572,0.8258421973814375,1.0627793002520616,0.00539606521993008,0.010850681424507735,-0.01042964751811326,0.012054980307966146,0.003912346942654299,-0.00805775290701738,-0.0014074917144651922,-2.5096995136902676,-6.480987866698844,-3.858247051033131,0.28193181753781704,0.2854690948753921,0.02586157342677671,0.7452175947164761,0.8989621632061963,0.7470783662692018,0,0
2005-04-08,0.5051917361473757,0.732238673033259,1.0607213060382026,-0.010399105463828717,0.004853185239421576,-0.022901121233865118,-0.008121346325952183,-0.015181949997587485,0.003497813739213651,0.002818861469227496,-3.52351143014775,-7.2404881522943025,-5.317866336984753,0.19813828351758628,0.2852359256512607,-0.052822492819183275,1.0180227487487405,0.938890308811793,0.9808172924070042,0,0
2005-04-11,0.48533913029899933,0.6805301764500166,1.060810725456208,0.0007629271116154079,0.003910481040355185,-0.015251834899297045,-0.004367134541642725,-0.00494678366885426,0.005395919486938849,0.002108225708201017,-3.449906901384351,-7.645581420550336,-5.7862383695212385,0.14861978074574791,0.2842092645404014,0.010242546463219803,0.7250092793767485,0.7336133652084151,0.9547031240496888,0,0
2005-04-12,0.359335614998731,0.5574627013828711,1.0501614418901966,0.005165666028746907,0.004315098367609682,-0.016293269921379583,0.004933947285475915,0.009362410388798814,0.009280854786729797,0.0014025566854398708,-2.9511613653924806,-7.1899095876985495,-4.904170468864228,0.16560612500087227,0.3392845340335623,0.1073640899459246,1.3359359940250668,1.4382429126582326,1.5532479020716818,0,0
2005-04-13,0.4084409263651241,0.5024866384170663,1.0548895674586045,-0.011794241797997929,-0.010960822596375985,-0.019803918954970356,-0.0163665778294112,-0.017894159994920167,-0.002437202235737068,0.0014005922753805855,-4.095778834463929,-8.708893155786173,-6.605830457344021,0.14018427313343887,0.34461888622119796,0.08280413396691218,1.0199625709045195,1.074174464074452,1.2172284819957857,0,0
2005-04-14,0.6500943649494538,0.5843368027274228,1.0891911392731755,-0.013043800538825479,-0.02910068835911228,-0.02430552399735819,-0.014143067828751743,-0.020058664674023174,-0.001554500818740534,-0.013752916820573557,-5.346734366178581,-10.000029472045709,-8.479192786709023,0.23519156345146966,0.3366031126861505,0.30966688995951186,1.4625535230350757,1.5588627941867432,1.673558229250358,0,0
2005-04-15,1.036918555559334,0.7764320545256087,1.160172429759739,-0.013993036327517139,-0.03262670073531937,-0.03989257518159406,-0.022784606695106402,-0.013730988770365604,0.013236379093763517,0.002127160237926695,-6.671220950710774,-12.050643403096311,-9.735863962809516,0.0006722612465489377,0.2612432455025378,0.2800736354315311,1.864207834849857,1.6211464489681804,2.1773934696525346,0,0
2005-04-18,1.2275497589947832,0.8847155116007325,1.2098296610037667,0.003066064659363432,-0.030400405468111957,-0.034081396996215485,0.00028793034405616424,0.0063986333415329,-0.000768414912365456,0.006839554018720495,-6.38506887956622,-12.025320114591848,-9.158296852417285,-0.02296860537283629,0.26486068819071834,0.31508794274816154,1.4086419344550156,1.0491035127251356,1.4562723020502206,0,0
2005-04-19,1.2635828908905888,0.9218590999902974,1.226459426435269,0.007947342003838731,-0.027717154349692685,-0.022777493214473088,0.006906148713029303,0.01649797355345739,0.009668728772751045,0.013820570896405648,-5.6410790052863184,-11.417753892322068,-7.6595928363374295,0.051401144285577245,0.2900840526267045,0.43234816540539656,0.9119442176954827,0.9218387202393761,1.2831694759455703,0,0
2005-04-20,1.363949245935351,1.0568063047295315,1.2798496940995392,-0.013949960291894214,-0.029838137853654412,-0.02651820362564783,-0.00828827482317196,-0.015638348190851192,-0.002502981092849521,0.002772706792206092,-6.9573822063485595,-12.151947892516356,-9.103644275647751,0.010841224366600477,0.2978756472282162,0.3070889121788661,1.4971051368682562,1.3193191976519705,1.2637588776771753,0,0
2005-04-21,1.1971237978543718,1.0684936191272079,1.2859828811820195,0.01941995792270057,0.0020732077344252087,-0.008461237793272791,0.026513235552945158,0.024474440199113046,-0.010472285170601059,-0.004838776308445536,-5.150498483777935,-9.82281179412325,-6.8790068531547925,-0.23197735395349725,0.2156068100956452,0.15739197572134508,1.1948979765715224,1.1548027065611626,1.264312444419113,0,0
2005-04-22,1.1182184575756509,1.0897839277556,1.303905766121668,-0.0037932107985418906,0.012439231771499637,-0.013403208580355042,-0.014879216316901367,-0.016177832205608866,0.00837817473342306,0.004630719363250213,-5.510282637165584,-11.164577684288417,-8.385502655104107,-0.24447687448968533,0.20082402499260893,0.14666204191036863,1.1907194543740904,1.0484130504982654,1.1368003959356763,0,0
2005-04-25,1.0018088288704405,1.0913975429175466,1.3114731387902778,0.006576618381755273,0.015982589920095824,-0.008354221600511136,0.008264845082722516,0.009202017505992588,0.002951513722151633,0.0011523216815825243,-4.888859825070305,-10.430366680990836,-7.5424644467336694,-0.23278484591780077,0.20677105485115163,0.14075326669229843,0.698134512680436,0.6542593270240049,0.7123201786018896,0,0
2005-04-26,0.715372703364845,1.1197606897855041,1.3378150152597512,-0.009713371152404005,-0.0018189125439556086,-0.011412817985652524,-0.009327668182299353,-0.014099135045554045,-0.0015259411219747943,0.0046040692739912625,-5.812709630317718,-11.265842499800781,-8.84603572647828,-0.17639832647522796,0.21316654698892815,0.10147427604473791,0.968806009889489,0.9578427557567957,1.139758032099344,0,0
2005-04-27,0.5627265710770327,1.1101086525036996,1.3603674065049502,0.003905594072140639,0.016256312804140194,-0.02140765744250095,0.0014262801279321113,-0.0004280007731960467,0.003493184110061831,-0.010082461797956688,-5.444852307378905,-11.139282734289445,-8.885049693667234,-0.22525501209200974,0.2126369383264637,0.045463730811100715,1.1059664973203298,1.0280403072136788,1.113300457146971,0,0
2005-04-28,0.5872869049903336,1.1506864975798963,1.4130054051117766,-0.012537729165157052,-0.015602197511701,-0.03187532896544365,-0.009971080670584498,-0.02552932978670619,0.007398801786460796,-0.004629647208502563,-6.630359140320412,-12.025320114591848,-11.211153308536952,-0.2706074331003847,0.1829951325476239,0.09852015826939035,0.9478889604019343,0.8921581335591582,1.0770460211099522,0,0
2005-04-29,0.5569014246716621,1.1455874863752473,1.4328746576110187,0.013572878009452838,0.0015580345261771988,-0.014306722875976896,0.006618558945916453,0.013099252618677282,-0.0017282566265057753,0.00813949939816494,-5.363064395145554,-11.44305451002214,-10.048085776004475,-0.2954689726012149,0.16637559281835063,0.17104979033417986,1.352269529626611,1.312087880043566,1.9191481165083806,0,0
2005-05-02,0.5763207610658916,1.128748894377488,1.4439278385748113,0.005615299935723961,0.000601509016068702,-0.010456630885847917,0.004002215958124111,0.010239102057470362,-0.00021710741368963227,-0.010841924395601499,-4.831649616726505,-11.08863048957942,-9.127058946000172,-0.29956674483961654,0.1640096829312257,0.11312331470910933,0.7359749213863123,0.6237275708796208,0.844466696945642,0,0
2005-05-03,0.628315263842164,1.0907746272702707,1.4472531786112945,0.001718225826640385,0.012152178140023784,-0.013453032007669896,0.005125713168892876,0.00498222180114638,0.002714838650909046,-0.0027985714457283706,-4.668128899219199,-10.63289631201556,-8.674309797946648,-0.2828513867123706,0.12282971191741932,0.10429110082250369,1.1013996178925074,0.9375590769128547,0.8356595288580283,0,0
2005-05-04,0.6017987179422731,1.045420904402804,1.4447600814074504,0.007718560973365651,0.015996466663804387,-0.009274942925504681,0.012181671403856509,0.01111096953512436,-0.00877208350873604,0.003274162999094443,-3.932304039422784,-9.544255620574162,-7.6595928363374295,-0.3356626178805441,0.09967782800887172,0.10995198356668796,1.0199262974189123,0.8171091109770946,0.7779833362055649,0,0
